category,category_link
Baby & kids,https://www.ikea.com/us/en/cat/baby-kids-bc001/
Bathroom,https://www.ikea.com/us/en/cat/bathroom-ba001/
Beds & mattresses,https://www.ikea.com/us/en/cat/beds-mattresses-bm001/
Cookware & tableware,https://www.ikea.com/us/en/cat/cookware-tableware-kt001/
Food & beverages,https://www.ikea.com/us/en/cat/food-beverages-fb001/
Furniture,https://www.ikea.com/us/en/cat/furniture-fu001/
Gardening & plants,https://www.ikea.com/us/en/cat/gardening-plants-pp001/
Home Décor,https://www.ikea.com/us/en/cat/home-decor-de001/
Home improvement,https://www.ikea.com/us/en/cat/home-improvement-hi001/
Home safety,https://www.ikea.com/us/en/cat/home-safety-sp001/
Home Textiles,https://www.ikea.com/us/en/cat/home-textiles-tl001/
Kitchen & appliances,https://www.ikea.com/us/en/cat/kitchen-appliances-ka001/
Laundry & cleaning,https://www.ikea.com/us/en/cat/laundry-cleaning-lc001/
Leisure & travel,https://www.ikea.com/us/en/cat/leisure-travel-lt001/
Lighting,https://www.ikea.com/us/en/cat/lighting-li001/
Outdoor,https://www.ikea.com/us/en/cat/outdoor-od001/
Pet accessories,https://www.ikea.com/us/en/cat/pet-accessories-pt001/
Rugs,https://www.ikea.com/us/en/cat/rugs-rm001/
Smart Home,https://www.ikea.com/us/en/cat/smart-home-he001/
Storage & organization,https://www.ikea.com/us/en/cat/storage-organization-st001/
Summer,https://www.ikea.com/us/en/cat/summer-ss001/
Winter holidays,https://www.ikea.com/us/en/cat/winter-holidays-wt001/
